No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|1er lot|Nombre de lots|Code type local|Type local|Surface reelle bati|Nombre pieces principales|year
1|06/12/2022|Vente en l'état futur d'achèvement|4461940,50||||||NOGENT SUR MARNE|94|52||H|167|21.0|1|||||2022
1|06/12/2022|Vente en l'état futur d'achèvement|4461940,50||||||NOGENT SUR MARNE|94|52||H|167|2.0|1|||||2022
1|06/12/2022|Vente en l'état futur d'achèvement|4461940,50||||||NOGENT SUR MARNE|94|52||H|167|1.0|1|||||2022
1|06/12/2022|Vente en l'état futur d'achèvement|4461940,50||||||NOGENT SUR MARNE|94|52||H|167|24.0|1|||||2022
1|06/12/2022|Vente en l'état futur d'achèvement|4461940,50||||||NOGENT SUR MARNE|94|52||H|167|22.0|1|||||2022
1|06/12/2022|Vente en l'état futur d'achèvement|4461940,50||||||NOGENT SUR MARNE|94|52||H|167|23.0|1|||||2022
1|06/12/2022|Vente en l'état futur d'achèvement|4461940,50||||||NOGENT SUR MARNE|94|52||H|167|4.0|1|||||2022
1|06/12/2022|Vente en l'état futur d'achèvement|4461940,50||||||NOGENT SUR MARNE|94|52||H|167|5.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|342.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|124.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|125.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|126.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|127.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|317.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|318.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|319.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|320.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|321.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|322.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|323.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|324.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|325.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|326.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|327.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|121.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|120.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|119.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|118.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|117.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|328.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|116.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|115.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|114.0|1|||||2022
1|27/12/2022|Vente en l'état futur d'achèvement|27845706,00||||||NOGENT SUR MARNE|94|52||C|55|113.0|1|||||2022
