1er lot;Code commune;Code departement;Code postal;Code type local;Code voie;Commune;Date mutation;Nature mutation;No disposition;No plan;No voie;Nombre de lots;Nombre pieces principales;Prefixe de section;Section;Surface reelle bati;Type de voie;Type local;Valeur fonciere;Voie;Annee
;199;33;33470;2;0242;GUJAN MESTRAS;05/01/2021;Vente;1;184;26;0;2;;BN;20;RUE;Appartement;580000;EDMOND DAUBRIC;2021
;199;33;33470;4;0242;GUJAN MESTRAS;05/01/2021;Vente;1;184;26;0;0;;BN;140;RUE;Local industriel. commercial ou assimilé;580000;EDMOND DAUBRIC;2021
;199;33;33470;2;0242;GUJAN MESTRAS;05/01/2021;Vente;1;184;26;0;2;;BN;25;RUE;Appartement;580000;EDMOND DAUBRIC;2021
;199;33;33470;2;0242;GUJAN MESTRAS;05/01/2021;Vente;1;184;26;0;2;;BN;60;RUE;Appartement;580000;EDMOND DAUBRIC;2021
;199;33;33470;1;0100;GUJAN MESTRAS;07/01/2021;Vente;1;419;6;0;5;;BT;150;ALL;Maison;728600;DES BRUYERES;2021
;527;33;33470;;0067;LE TEICH;06/01/2021;Vente;1;95;31;0;;;CO;;RUE;;328230;ANDERS CELSIUS;2021
;199;33;33470;4;0790;GUJAN MESTRAS;14/01/2021;Vente;1;324;30;0;0;;CA;95;CRS;Local industriel. commercial ou assimilé;320000;DE LA REPUBLIQUE;2021
23;199;33;33470;1;0460;GUJAN MESTRAS;04/01/2021;Vente;1;463;6;1;2;;BM;33;RUE;Maison;154880;DE LA LIBERTE;2021
;199;33;33470;1;0490;GUJAN MESTRAS;08/01/2021;Vente;1;166;8;0;4;;BO;65;RUE;Maison;304250;DU MARECHAL FOCH;2021
;199;33;33470;1;0660;GUJAN MESTRAS;07/01/2021;Vente;1;654;51;0;4;;BS;83;ALL;Maison;362650;DE LA PELOUSE;2021
;199;33;33470;;A045;GUJAN MESTRAS;14/01/2021;Vente;1;117;8;0;;;DC;;LOT;;136000;VILLAGE DES PINS;2021
;199;33;33470;;B135;GUJAN MESTRAS;11/01/2021;Vente;1;100;;0;;;BX;;;;480100;MESTEY;2021
;199;33;33470;1;0042;GUJAN MESTRAS;11/01/2021;Vente;1;311;9;0;5;;BX;120;ALL;Maison;480100;DU BARAIL;2021
;199;33;33470;1;0166;GUJAN MESTRAS;15/01/2021;Vente;1;259;3;0;6;;DK;102;ALL;Maison;350000;CHARLES PERRAULT;2021
;199;33;33470;;0520;GUJAN MESTRAS;15/01/2021;Vente;2;761;119;0;;;CB;;CRS;;230000;DE LA MARNE;2021
;199;33;33470;1;0675;GUJAN MESTRAS;05/01/2021;Vente;1;58;108;0;5;;BC;163;AV;Maison;662370;PIERRE DIGNAC;2021
;199;33;33470;;0675;GUJAN MESTRAS;05/01/2021;Vente;1;59;108;0;;;BC;;AV;;662370;PIERRE DIGNAC;2021
;527;33;33470;;B129;LE TEICH;08/01/2021;Vente;1;21;;0;;;CB;;;;10150;PAYON-EST;2021
;199;33;33470;;A092;GUJAN MESTRAS;08/01/2021;Vente;1;264;;0;;;CK;;LOT;;246500;LA GIROLLE;2021
;199;33;33470;;A092;GUJAN MESTRAS;08/01/2021;Vente;1;265;;0;;;CK;;LOT;;246500;LA GIROLLE;2021
;527;33;33470;;B103;LE TEICH;08/01/2021;Vente;2;146;;0;;;CP;;;;170000;LANDE DE LA BERLE DU TCHAN;2021
46;527;33;33470;1;0454;LE TEICH;12/01/2021;Vente;1;96;9001;1;4;;BG;84;RUE;Maison;280000;DES TILLEULS;2021
22;199;33;33470;2;0512;GUJAN MESTRAS;19/01/2021;Vente;1;161;38;1;2;;BT;23;AV;Appartement;98000;MAL DE LATTRE DE TASSIGNY;2021
;199;33;33470;;B029;GUJAN MESTRAS;08/01/2021;Vente;1;410;;0;;;CT;;;;310000;CAMPES;2021
2;199;33;33470;2;0186;GUJAN MESTRAS;21/01/2021;Vente;1;233;46;1;1;;BL;27;BD;Appartement;80000;DE LA COTE D ARGENT;2021
12;199;33;33470;3;0186;GUJAN MESTRAS;21/01/2021;Vente;1;233;46;1;0;;BL;0;BD;Dépendance;80000;DE LA COTE D ARGENT;2021
;527;33;33470;1;0057;LE TEICH;13/01/2021;Vente;1;98;9010;0;4;;BL;107;ALL;Maison;389800;DE CHIQUOY;2021
406;199;33;33470;2;0110;GUJAN MESTRAS;15/01/2021;Vente;1;380;2;1;2;;CA;34;RUE;Appartement;106000;CAMILLE DIGNAC;2021
438;199;33;33470;3;0110;GUJAN MESTRAS;15/01/2021;Vente;1;380;2;1;0;;CA;0;RUE;Dépendance;106000;CAMILLE DIGNAC;2021
126;199;33;33470;3;0194;GUJAN MESTRAS;05/01/2021;Vente;1;418;51;1;0;;CR;0;ALL;Dépendance;134100;CLAUDE DEBUSSY;2021
113;199;33;33470;2;0194;GUJAN MESTRAS;05/01/2021;Vente;1;418;51;1;2;;CR;43;ALL;Appartement;134100;CLAUDE DEBUSSY;2021
;199;33;33470;;0830;GUJAN MESTRAS;11/01/2021;Vente;1;162;;0;;;BM;;RUE;;406800;DU THEATRE;2021
;199;33;33470;1;0830;GUJAN MESTRAS;11/01/2021;Vente;1;163;10;0;4;;BM;100;RUE;Maison;406800;DU THEATRE;2021
;199;33;33470;;0015;GUJAN MESTRAS;11/01/2021;Vente;1;460;21;0;;;BV;;ALL;;450000;ALPHONSE DAUDET;2021
;199;33;33470;;0015;GUJAN MESTRAS;11/01/2021;Vente;1;461;21;0;;;BV;;ALL;;450000;ALPHONSE DAUDET;2021
;199;33;33470;;B091;GUJAN MESTRAS;11/01/2021;Vente;1;462;;0;;;BV;;;;450000;LE HUGUEYRA;2021
23;199;33;33470;2;0840;GUJAN MESTRAS;22/01/2021;Vente;1;185;66;3;2;;BO;44;CRS;Appartement;155500;DE VERDUN;2021
;199;33;33470;4;0238;GUJAN MESTRAS;20/01/2021;Vente;1;85;6;0;0;;DO;481;ALL;Local industriel. commercial ou assimilé;940000;DES DUNES;2021
;199;33;33470;4;0238;GUJAN MESTRAS;20/01/2021;Vente;1;85;6;0;0;;DO;80;ALL;Local industriel. commercial ou assimilé;940000;DES DUNES;2021
;199;33;33470;4;0238;GUJAN MESTRAS;20/01/2021;Vente;1;85;6;0;0;;DO;70;ALL;Local industriel. commercial ou assimilé;940000;DES DUNES;2021
72;199;33;33470;;0840;GUJAN MESTRAS;19/01/2021;Vente en l'état futur d'achèvement;1;767;;1;;;BY;;CRS;;231310;DE VERDUN;2021
28;199;33;33470;;0840;GUJAN MESTRAS;19/01/2021;Vente en l'état futur d'achèvement;1;767;;1;;;BY;;CRS;;231310;DE VERDUN;2021
66;199;33;33470;;0840;GUJAN MESTRAS;19/01/2021;Vente en l'état futur d'achèvement;1;767;;1;;;BY;;CRS;;231310;DE VERDUN;2021
;199;33;33470;;0415;GUJAN MESTRAS;18/01/2021;Vente;1;566;;0;;;BM;;RUE;;455300;JULES BARAT;2021
;199;33;33470;1;0415;GUJAN MESTRAS;18/01/2021;Vente;1;568;12;0;5;;BM;105;RUE;Maison;455300;JULES BARAT;2021
;527;33;33470;1;0272;LE TEICH;13/01/2021;Vente;1;302;9;0;6;;BP;183;RUE;Maison;711000;DES PALMIERS;2021
;527;33;33470;;B085;LE TEICH;13/01/2021;Vente;1;305;;0;;;BP;;;;711000;HOUDIN;2021
;199;33;33470;;0710;GUJAN MESTRAS;19/01/2021;Vente;1;512;3;0;;;BZ;;ALL;;465000;DU PLACOT;2021
;527;33;33470;;0044;LE TEICH;26/01/2021;Vente;1;231;112;0;;;BV;;AV;;220000;DE CAMPS;2021
;199;33;33470;1;0270;GUJAN MESTRAS;26/01/2021;Vente;1;559;45;0;5;;CA;148;ALL;Maison;692500;DU FIN;2021
;527;33;33470;1;0456;LE TEICH;11/01/2021;Vente;1;253;4;0;4;;BN;94;RUE;Maison;347000;EDOUARD BEYNEL;2021
;199;33;33470;;B217;GUJAN MESTRAS;11/01/2021;Vente;1;467;;0;;;BA;;;;90000;A VERDALLE;2021
;199;33;33470;1;0483;GUJAN MESTRAS;25/01/2021;Vente;1;350;35;0;4;;CX;86;ALL;Maison;425000;DE MALPONT;2021
;527;33;33470;;B081;LE TEICH;21/01/2021;Vente;2;163;;0;;;CD;;;;1;GRANGE NEUVE;2021
;199;33;33470;;0840;GUJAN MESTRAS;25/01/2021;Vente;1;204;;0;;;BO;;CRS;;80000;DE VERDUN;2021
;199;33;33470;1;0840;GUJAN MESTRAS;25/01/2021;Vente;1;205;50;0;1;;BO;42;CRS;Maison;80000;DE VERDUN;2021
;199;33;33470;4;0840;GUJAN MESTRAS;25/01/2021;Vente;1;205;50;0;0;;BO;34;CRS;Local industriel. commercial ou assimilé;80000;DE VERDUN;2021
;199;33;33470;1;0659;GUJAN MESTRAS;28/01/2021;Vente;1;471;24;0;4;;CH;111;ALL;Maison;610000;PEROUSE;2021
;199;33;33470;1;0732;GUJAN MESTRAS;15/01/2021;Vente;1;128;6;0;5;;BB;160;IMP;Maison;1023660;PLEIN AIR;2021
;199;33;33470;;B077;GUJAN MESTRAS;15/01/2021;Vente;1;129;;0;;;BB;;;;1023660;GARCON;2021
118;199;33;33470;3;0138;GUJAN MESTRAS;28/01/2021;Vente;1;43;91;1;0;;CY;0;AV;Dépendance;5000;DE CESAREE;2021
4;199;33;33470;2;0400;GUJAN MESTRAS;22/01/2021;Vente;1;151;163;2;2;;CV;42;ALL;Appartement;138000;DE HAURAT;2021
;199;33;33470;1;0772;GUJAN MESTRAS;28/01/2021;Vente;1;483;3;0;4;;BR;99;ALL;Maison;378000;DE LA PRAIRIE;2021
395;199;33;33470;2;0110;GUJAN MESTRAS;27/01/2021;Vente;1;380;2;1;2;;CA;46;RUE;Appartement;165000;CAMILLE DIGNAC;2021
253;199;33;33470;3;0110;GUJAN MESTRAS;27/01/2021;Vente;1;380;2;1;0;;CA;0;RUE;Dépendance;165000;CAMILLE DIGNAC;2021
252;199;33;33470;3;0110;GUJAN MESTRAS;27/01/2021;Vente;1;380;2;1;0;;CA;0;RUE;Dépendance;165000;CAMILLE DIGNAC;2021
;199;33;33470;;B193;GUJAN MESTRAS;12/01/2021;Vente;2;1911;;0;;;G;;;;13531;SAINT HENRI;2021
;199;33;33470;;B193;GUJAN MESTRAS;12/01/2021;Vente;2;1912;;0;;;G;;;;13531;SAINT HENRI;2021
;199;33;33470;1;0075;GUJAN MESTRAS;19/01/2021;Vente;1;206;3;0;5;;DK;98;ALL;Maison;430000;DU BOSQUET DES CIGALES;2021
;199;33;33470;;B193;GUJAN MESTRAS;12/01/2021;Vente;1;1906;;0;;;G;;;;1850;SAINT HENRI;2021
;199;33;33470;;B193;GUJAN MESTRAS;12/01/2021;Vente;1;1908;;0;;;G;;;;1850;SAINT HENRI;2021
;199;33;33470;;B193;GUJAN MESTRAS;12/01/2021;Vente;1;1914;;0;;;G;;;;1850;SAINT HENRI;2021
;199;33;33470;;B029;GUJAN MESTRAS;13/01/2021;Vente;1;465;;0;;;CT;;;;240000;CAMPES;2021
;199;33;33470;;B193;GUJAN MESTRAS;12/01/2021;Vente;1;1905;;0;;;G;;;;180;SAINT HENRI;2021
;527;33;33470;;0044;LE TEICH;26/01/2021;Vente;1;286;;0;;;BW;;AV;;215000;DE CAMPS;2021
;527;33;33470;;B054;LE TEICH;26/01/2021;Vente;1;291;;0;;;BW;;;;215000;CHAMPS DE CAMPS-SUD;2021
;199;33;33470;;0558;GUJAN MESTRAS;25/01/2021;Vente;1;370;7;0;;;CX;;ALL;;160500;MOLIERE;2021
;199;33;33470;;0558;GUJAN MESTRAS;25/01/2021;Vente;1;371;7;0;;;CX;;ALL;;160500;MOLIERE;2021
;199;33;33470;;B071;GUJAN MESTRAS;22/01/2021;Vente;1;60;;0;;;DO;;;;348000;LA FERME-OUEST;2021
;199;33;33470;;0256;GUJAN MESTRAS;22/01/2021;Vente;1;788;16;0;;;BY;;ALL;;175000;DE L ERMITAGE;2021
;199;33;33470;;0015;GUJAN MESTRAS;15/01/2021;Vente;1;458;21;0;;;BV;;ALL;;258126;ALPHONSE DAUDET;2021
;199;33;33470;1;0675;GUJAN MESTRAS;18/01/2021;Vente;1;151;218;0;3;;BB;48;AV;Maison;275835;PIERRE DIGNAC;2021
;199;33;33470;1;0054;GUJAN MESTRAS;07/01/2021;Vente;1;5;14;0;5;;CY;118;ALL;Maison;510200;DE BICHOQUE;2021
;199;33;33470;1;0842;GUJAN MESTRAS;06/01/2021;Vente;1;62;8;0;5;;CY;90;IMP;Maison;362600;DE VALENTIN;2021
;199;33;33470;1;0460;GUJAN MESTRAS;26/01/2021;Vente;1;637;65;0;4;;CB;88;RUE;Maison;270000;DE LA LIBERTE;2021
;527;33;33470;1;0311;LE TEICH;22/01/2021;Vente;1;15;8;0;4;;BH;84;RUE;Maison;250000;DES PERLIERES;2021
;199;33;33470;1;0510;GUJAN MESTRAS;28/01/2021;Vente;1;258;28;0;4;;BN;134;RUE;Maison;515000;DU MARECHAL JOFFRE;2021
16;199;33;33470;2;0512;GUJAN MESTRAS;15/01/2021;Vente;1;154;168;2;2;;BW;54;AV;Appartement;190000;MAL DE LATTRE DE TASSIGNY;2021
;199;33;33470;1;0675;GUJAN MESTRAS;28/01/2021;Vente;1;110;124;0;2;;BC;46;AV;Maison;410000;PIERRE DIGNAC;2021
;199;33;33470;1;0675;GUJAN MESTRAS;28/01/2021;Vente;1;110;124;0;5;;BC;78;AV;Maison;410000;PIERRE DIGNAC;2021
;199;33;33470;3;0675;GUJAN MESTRAS;28/01/2021;Vente;1;110;124;0;0;;BC;0;AV;Dépendance;410000;PIERRE DIGNAC;2021
;199;33;33470;1;0675;GUJAN MESTRAS;28/01/2021;Vente;1;110;124;0;4;;BC;180;AV;Maison;410000;PIERRE DIGNAC;2021
;199;33;33470;;0675;GUJAN MESTRAS;28/01/2021;Vente;1;114;124;0;;;BC;;AV;;410000;PIERRE DIGNAC;2021
38;199;33;33470;2;0512;GUJAN MESTRAS;19/01/2021;Vente;1;154;168;2;2;;BW;49;AV;Appartement;172000;MAL DE LATTRE DE TASSIGNY;2021
;199;33;33470;1;A015;GUJAN MESTRAS;08/02/2021;Vente;1;352;301;0;3;;CM;27;;Maison;175000;KHELUS CLUB;2021
;527;33;33470;1;0050;LE TEICH;20/01/2021;Vente;1;220;38;0;5;;BS;140;RUE;Maison;410890;DU CAPLANDE;2021
53;527;33;33470;2;0325;LE TEICH;18/01/2021;Vente;1;32;32;1;3;;BF;47;RUE;Appartement;156460;DU PORT;2021
;527;33;33470;1;0065;LE TEICH;04/02/2021;Vente;1;53;3;0;4;;BS;102;RUE;Maison;415000;RENE DAURIAC;2021
10;199;33;33470;2;0840;GUJAN MESTRAS;22/01/2021;Vente;1;182;70;2;2;;BO;46;CRS;Appartement;140000;DE VERDUN;2021
;199;33;33470;1;0194;GUJAN MESTRAS;29/01/2021;Vente;1;254;10;0;4;;CI;116;ALL;Maison;625000;CLAUDE DEBUSSY;2021
;199;33;33470;;B029;GUJAN MESTRAS;20/01/2021;Vente;1;450;;0;;;CT;;;;288000;CAMPES;2021
;527;33;33470;2;0170;LE TEICH;04/02/2021;Vente;1;298;18;0;3;;BN;86;RUE;Appartement;240000;DE L INDUSTRIE;2021
;527;33;33470;;0170;LE TEICH;04/02/2021;Vente;1;300;16;0;;;BN;;RUE;;240000;DE L INDUSTRIE;2021
;199;33;33470;1;0265;GUJAN MESTRAS;22/01/2021;Vente;1;151;8;0;2;;BN;70;ALL;Maison;271500;DES FAUVETTES;2021
;199;33;33470;1;0840;GUJAN MESTRAS;15/01/2021;Vente;1;12;104;0;4;;BO;120;CRS;Maison;210000;DE VERDUN;2021
;527;33;33470;2;0110;LE TEICH;05/02/2021;Vente;1;428;2;0;1;;BH;30;RUE;Appartement;335000;DES FLEURS;2021
;527;33;33470;2;0110;LE TEICH;05/02/2021;Vente;1;428;2;0;3;;BH;55;RUE;Appartement;335000;DES FLEURS;2021
;527;33;33470;;0110;LE TEICH;05/02/2021;Vente;1;430;2;0;;;BH;;RUE;;335000;DES FLEURS;2021
;527;33;33470;;0110;LE TEICH;05/02/2021;Vente;1;433;2;0;;;BH;;RUE;;335000;DES FLEURS;2021
;527;33;33470;;0110;LE TEICH;05/02/2021;Vente;1;434;2;0;;;BH;;RUE;;335000;DES FLEURS;2021
;199;33;33470;1;0010;GUJAN MESTRAS;08/02/2021;Vente;1;665;93;0;7;;CI;161;RUE;Maison;362980;AIME BROUSTAUT;2021
51;199;33;33470;3;0512;GUJAN MESTRAS;18/01/2021;Vente;1;15;8;1;0;;BT;0;AV;Dépendance;15000;MAL DE LATTRE DE TASSIGNY;2021
152;199;33;33470;2;0512;GUJAN MESTRAS;20/01/2021;Vente;1;15;8;2;2;;BT;39;AV;Appartement;160000;MAL DE LATTRE DE TASSIGNY;2021
42;527;33;33470;2;0370;LE TEICH;03/02/2021;Vente;1;2;6;2;2;;BG;46;RUE;Appartement;171650;SAINT LOUIS;2021
25;199;33;33470;2;0840;GUJAN MESTRAS;04/02/2021;Vente;1;495;83;3;3;;BY;66;CRS;Appartement;226500;DE VERDUN;2021
;199;33;33470;1;A015;GUJAN MESTRAS;01/02/2021;Vente;1;281;186;0;2;;DC;30;;Maison;128000;KHELUS CLUB;2021
;199;33;33470;;0239;GUJAN MESTRAS;01/02/2021;Vente;2;314;;0;;;CD;;ALL;;230000;DES DOUVES;2021
22;199;33;33470;2;0460;GUJAN MESTRAS;15/02/2021;Vente;1;100;36;2;3;;CB;64;RUE;Appartement;259400;DE LA LIBERTE;2021
;199;33;33470;1;0400;GUJAN MESTRAS;21/01/2021;Vente;1;110;65;0;4;;CC;99;ALL;Maison;520000;DE HAURAT;2021
;199;33;33470;1;0676;GUJAN MESTRAS;16/02/2021;Vente;2;137;50;0;4;;BD;165;BD;Maison;515000;PIERRE DIGNAC;2021
;199;33;33470;1;0676;GUJAN MESTRAS;16/02/2021;Vente;2;137;50;0;1;;BD;64;BD;Maison;515000;PIERRE DIGNAC;2021
;199;33;33470;1;0400;GUJAN MESTRAS;04/02/2021;Vente;1;51;129;0;4;;CV;89;ALL;Maison;475425;DE HAURAT;2021
;199;33;33470;;0239;GUJAN MESTRAS;04/02/2021;Vente;1;157;;0;;;CV;;ALL;;475425;DES DOUVES;2021
;199;33;33470;1;0790;GUJAN MESTRAS;08/02/2021;Vente;1;125;85;0;2;;BM;35;CRS;Maison;167000;DE LA REPUBLIQUE;2021
;199;33;33470;1;0840;GUJAN MESTRAS;02/02/2021;Vente;1;363;64;0;3;;BO;104;CRS;Maison;400000;DE VERDUN;2021
;199;33;33470;4;0840;GUJAN MESTRAS;02/02/2021;Vente;1;363;64;0;0;;BO;126;CRS;Local industriel. commercial ou assimilé;400000;DE VERDUN;2021
45;199;33;33470;3;0790;GUJAN MESTRAS;15/02/2021;Vente;1;179;115;1;0;;BM;0;CRS;Dépendance;243700;DE LA REPUBLIQUE;2021
31;199;33;33470;2;0790;GUJAN MESTRAS;15/02/2021;Vente;1;179;115;2;2;;BM;83;CRS;Appartement;243700;DE LA REPUBLIQUE;2021
;199;33;33470;1;0830;GUJAN MESTRAS;22/02/2021;Vente;1;218;17;0;2;;BM;36;RUE;Maison;193000;DU THEATRE;2021
;199;33;33470;1;0830;GUJAN MESTRAS;22/02/2021;Vente;1;218;17;0;2;;BM;46;RUE;Maison;193000;DU THEATRE;2021
;199;33;33470;;0830;GUJAN MESTRAS;22/02/2021;Vente;1;219;;0;;;BM;;RUE;;193000;DU THEATRE;2021
315;199;33;33470;3;0110;GUJAN MESTRAS;29/01/2021;Vente;1;380;2;1;0;;CA;0;RUE;Dépendance;154000;CAMILLE DIGNAC;2021
369;199;33;33470;2;0110;GUJAN MESTRAS;29/01/2021;Vente;1;380;2;1;2;;CA;38;RUE;Appartement;154000;CAMILLE DIGNAC;2021
;527;33;33470;4;A034;LE TEICH;09/02/2021;Vente;1;20;12;0;0;;CO;450;PARC;Local industriel. commercial ou assimilé;310000;ACTIVITE DE SYLVABELLE;2021
;199;33;33470;1;0400;GUJAN MESTRAS;09/02/2021;Vente;1;308;104;0;5;;CD;100;ALL;Maison;208000;DE HAURAT;2021
124;199;33;33470;2;0670;GUJAN MESTRAS;10/02/2021;Vente;1;393;15;3;2;;BO;48;RUE;Appartement;170000;PIERRE DANEY;2021
79;199;33;33470;3;0670;GUJAN MESTRAS;10/02/2021;Vente;1;393;15;1;0;;BO;0;RUE;Dépendance;170000;PIERRE DANEY;2021
;199;33;33470;1;0710;GUJAN MESTRAS;22/02/2021;Vente;1;792;24;0;4;;BY;97;ALL;Maison;355470;DU PLACOT;2021
;199;33;33470;1;0800;GUJAN MESTRAS;19/02/2021;Vente;1;285;35;0;5;;CB;129;ALL;Maison;400000;DU SABLE;2021
;199;33;33470;;B216;GUJAN MESTRAS;11/02/2021;Vente;1;1965;;0;;;G;;;;289950;VAUCLUSE;2021
;199;33;33470;;B216;GUJAN MESTRAS;11/02/2021;Vente;1;1966;;0;;;G;;;;289950;VAUCLUSE;2021
222;199;33;33470;3;0512;GUJAN MESTRAS;09/02/2021;Vente;1;15;8;1;0;;BT;0;AV;Dépendance;8000;MAL DE LATTRE DE TASSIGNY;2021
221;199;33;33470;3;0512;GUJAN MESTRAS;09/02/2021;Vente;1;15;8;1;0;;BT;0;AV;Dépendance;8000;MAL DE LATTRE DE TASSIGNY;2021
;199;33;33470;1;B216;GUJAN MESTRAS;11/02/2021;Vente;3;1964;;0;3;;G;60;;Maison;100000;VAUCLUSE;2021
;199;33;33470;1;B216;GUJAN MESTRAS;11/02/2021;Vente;3;1964;;0;2;;G;53;;Maison;100000;VAUCLUSE;2021
;199;33;33470;1;0610;GUJAN MESTRAS;03/02/2021;Vente;1;420;5;0;4;;BS;92;ALL;Maison;395240;DU PARADIS;2021
127;199;33;33470;3;0138;GUJAN MESTRAS;05/02/2021;Vente;1;43;91;1;0;;CY;0;AV;Dépendance;368000;DE CESAREE;2021
336;199;33;33470;2;0071;GUJAN MESTRAS;05/02/2021;Vente;1;43;255;1;3;;CY;92;ALL;Appartement;368000;DE BORDEAUX;2021
94;199;33;33470;3;0138;GUJAN MESTRAS;05/02/2021;Vente;1;43;91;1;0;;CY;0;AV;Dépendance;368000;DE CESAREE;2021
;199;33;33470;1;0569;GUJAN MESTRAS;25/01/2021;Vente;1;87;3;0;4;;BY;105;ALL;Maison;675000;DE LA NEYRA;2021
;527;33;33470;1;0256;LE TEICH;19/02/2021;Vente;1;22;18;0;4;;BS;113;RUE;Maison;470600;DU MOULIN;2021
;199;33;33470;1;0797;GUJAN MESTRAS;09/02/2021;Vente;1;323;11;0;3;;CH;83;ALL;Maison;343000;DES ROSSIGNOLS;2021
;199;33;33470;;0797;GUJAN MESTRAS;09/02/2021;Vente;1;328;11;0;;;CH;;ALL;;343000;DES ROSSIGNOLS;2021
;527;33;33470;1;0260;LE TEICH;09/02/2021;Vente;2;408;45;0;6;;BO;105;RUE;Maison;200000;DE MOUREY;2021
;199;33;33470;1;0186;GUJAN MESTRAS;25/02/2021;Vente;1;40;53;0;4;;BL;101;BD;Maison;608000;DE LA COTE D ARGENT;2021
;199;33;33470;1;0239;GUJAN MESTRAS;24/02/2021;Vente;1;272;19;0;5;;CD;122;ALL;Maison;625000;DES DOUVES;2021
;199;33;33470;1;0871;GUJAN MESTRAS;05/02/2021;Vente;1;115;4;0;2;;CP;35;ALL;Maison;540000;GIOACCHINO ROSSINI;2021
;199;33;33470;1;0871;GUJAN MESTRAS;05/02/2021;Vente;1;115;4;0;2;;CP;37;ALL;Maison;540000;GIOACCHINO ROSSINI;2021
;199;33;33470;1;0871;GUJAN MESTRAS;05/02/2021;Vente;1;115;4;0;5;;CP;130;ALL;Maison;540000;GIOACCHINO ROSSINI;2021
2;199;33;33470;1;0200;GUJAN MESTRAS;26/02/2021;Vente;1;30;19;1;4;;BW;90;RUE;Maison;655000;DEJEAN CASTAING;2021
;199;33;33470;;B029;GUJAN MESTRAS;17/02/2021;Vente terrain à bâtir;1;447;;0;;;CT;;;;533000;CAMPES;2021
;199;33;33470;;B029;GUJAN MESTRAS;17/02/2021;Vente terrain à bâtir;1;448;;0;;;CT;;;;533000;CAMPES;2021
;199;33;33470;1;0306;GUJAN MESTRAS;09/02/2021;Vente;1;79;22;0;3;;DC;42;ALL;Maison;208000;DES FRAGONS;2021
;527;33;33470;1;0057;LE TEICH;05/02/2021;Vente;1;226;25;0;4;;BM;101;ALL;Maison;432000;DE CHIQUOY;2021
;527;33;33470;;0066;LE TEICH;19/02/2021;Vente;1;231;20;0;;;CF;;RUE;;482000;DES CASSIERES;2021
;527;33;33470;1;0066;LE TEICH;19/02/2021;Vente;1;260;20;0;5;;CF;114;RUE;Maison;482000;DES CASSIERES;2021
;527;33;33470;1;0023;LE TEICH;12/02/2021;Vente;1;64;69;0;8;;CS;176;RUE;Maison;522080;DE BALANOS;2021
;199;33;33470;;B029;GUJAN MESTRAS;09/02/2021;Vente;1;451;;0;;;CT;;;;290000;CAMPES;2021
;199;33;33470;;0662;GUJAN MESTRAS;04/02/2021;Vente;2;452;28;0;;;BP;;ALL;;199700;DU PETIT MESTEY;2021
;199;33;33470;;0662;GUJAN MESTRAS;04/02/2021;Vente;2;453;28;0;;;BP;;ALL;;199700;DU PETIT MESTEY;2021
;199;33;33470;1;0239;GUJAN MESTRAS;15/02/2021;Vente;1;279;17;0;4;;CD;98;ALL;Maison;546500;DES DOUVES;2021
;199;33;33470;1;0390;GUJAN MESTRAS;15/02/2021;Vente;1;431;27;0;4;;BV;95;RTE;Maison;444000;DES LACS;2021
;199;33;33470;1;0210;GUJAN MESTRAS;16/02/2021;Vente;1;317;26;0;5;;BV;90;ALL;Maison;584355;DES DEUX ECLUSES;2021
;199;33;33470;1;0242;GUJAN MESTRAS;12/02/2021;Vente;1;934;97;0;5;;BM;105;RUE;Maison;433750;EDMOND DAUBRIC;2021
;527;33;33470;1;0313;LE TEICH;02/02/2021;Vente;1;315;17;0;4;;BN;100;RUE;Maison;450000;DU PEYRAT;2021
;527;33;33470;1;0029;LE TEICH;19/02/2021;Vente;1;249;32;0;7;;BP;191;RUE;Maison;594000;DE BOULANGE;2021
;199;33;33470;1;0676;GUJAN MESTRAS;17/02/2021;Vente;1;152;218;0;3;;BB;48;BD;Maison;285000;PIERRE DIGNAC;2021
131;527;33;33470;2;0325;LE TEICH;19/02/2021;Vente;1;32;32;1;2;;BF;36;RUE;Appartement;125000;DU PORT;2021
57;199;33;33470;1;A044;GUJAN MESTRAS;18/02/2021;Vente;1;41;7;2;2;;DR;50;RES;Maison;204420;VILLAS DU GOLF;2021
;199;33;33470;;B077;GUJAN MESTRAS;15/02/2021;Vente;1;87;;0;;;BB;;;;777000;GARCON;2021
;199;33;33470;1;0676;GUJAN MESTRAS;15/02/2021;Vente;1;187;198;0;5;;BB;139;BD;Maison;777000;PIERRE DIGNAC;2021
425;199;33;33470;2;0110;GUJAN MESTRAS;05/02/2021;Vente;1;380;2;1;3;;CA;56;RUE;Appartement;175000;CAMILLE DIGNAC;2021
286;199;33;33470;3;0110;GUJAN MESTRAS;05/02/2021;Vente;1;380;2;1;0;;CA;0;RUE;Dépendance;175000;CAMILLE DIGNAC;2021
;199;33;33470;1;0400;GUJAN MESTRAS;12/02/2021;Vente;1;36;126;0;5;;CD;135;ALL;Maison;450255;DE HAURAT;2021
164;199;33;33470;2;0512;GUJAN MESTRAS;29/01/2021;Vente;1;15;8;2;3;;BT;67;AV;Appartement;205000;MAL DE LATTRE DE TASSIGNY;2021
;199;33;33470;1;0540;GUJAN MESTRAS;19/02/2021;Vente;1;618;141;0;4;;BR;93;AV;Maison;495000;DE MEYRAN;2021
