No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|1er lot|Nombre de lots|Code type local|Type local|Surface reelle bati|Nombre pieces principales|year
1|19/01/2022|Vente en l'état futur d'achèvement|295000,00|121.0|AV|0512|MAL DE LATTRE DE TASSIGNY|33470.0|GUJAN MESTRAS|33|199||BR|64|3.0|1|||||2022
1|19/01/2022|Vente en l'état futur d'achèvement|295000,00|121.0|AV|0512|MAL DE LATTRE DE TASSIGNY|33470.0|GUJAN MESTRAS|33|199||BR|64|14.0|1|||||2022
1|19/01/2022|Vente en l'état futur d'achèvement|295000,00|121.0|AV|0512|MAL DE LATTRE DE TASSIGNY|33470.0|GUJAN MESTRAS|33|199||BR|64|21.0|1|||||2022
1|10/01/2022|Vente terrain à bâtir|312000,00|10.0|ALL|0795|DES ROSES|33470.0|GUJAN MESTRAS|33|199||BT|553||0|||||2022
1|17/01/2022|Vente|206550,00|2.0|RUE|0320|GAMBETTA|33470.0|GUJAN MESTRAS|33|199||BM|85|10.0|1|2.0|Appartement|66.0|1.0|2022
1|20/01/2022|Vente|80000,00|||B217|A VERDALLE|33470.0|GUJAN MESTRAS|33|199||BA|387||0|||||2022
1|19/01/2022|Vente|52060,00||ALL|0772|DE LA PRAIRIE|33470.0|GUJAN MESTRAS|33|199||BR|280||0|||||2022
1|17/01/2022|Vente|407500,00|||B133|MARACHON|33470.0|GUJAN MESTRAS|33|199||CI|707||0|||||2022
1|17/01/2022|Vente|407500,00|||B133|MARACHON|33470.0|GUJAN MESTRAS|33|199||CI|708||0|||||2022
1|11/01/2022|Vente|150000,00|196.0|AV|0512|MAL DE LATTRE DE TASSIGNY|33470.0|GUJAN MESTRAS|33|199||BX|314||0|1.0|Maison|82.0|4.0|2022
1|11/01/2022|Vente|150000,00|196.0|AV|0512|MAL DE LATTRE DE TASSIGNY|33470.0|GUJAN MESTRAS|33|199||BX|314||0|3.0|Dépendance|0.0|0.0|2022
1|17/01/2022|Vente|278600,00|22.0|RUE|0415|JULES BARAT|33470.0|GUJAN MESTRAS|33|199||BM|696||0|1.0|Maison|50.0|2.0|2022
1|17/01/2022|Vente|278600,00|22.0|RUE|0415|JULES BARAT|33470.0|GUJAN MESTRAS|33|199||BM|696||0|3.0|Dépendance|0.0|0.0|2022
1|26/01/2022|Vente|427700,00|||B164|LES PINS DE MEYRAN|33470.0|GUJAN MESTRAS|33|199||BW|475||0|||||2022
1|26/01/2022|Vente|427700,00|47.0|RUE|0200|DEJEAN CASTAING|33470.0|GUJAN MESTRAS|33|199||BW|476||0|||||2022
1|26/01/2022|Vente|427700,00|||B164|LES PINS DE MEYRAN|33470.0|GUJAN MESTRAS|33|199||BW|477||0|||||2022
1|26/01/2022|Vente|427700,00|47.0|RUE|0200|DEJEAN CASTAING|33470.0|GUJAN MESTRAS|33|199||BW|479||0|1.0|Maison|86.0|3.0|2022
2|14/01/2022|Vente|15000,00|17.0|ALL|0397|DES GRIVES|33470.0|GUJAN MESTRAS|33|199||CB|854||0|||||2022
1|18/01/2022|Vente|255000,00|36.0|RUE|0030|ARMAND DANEY|33470.0|GUJAN MESTRAS|33|199||BO|157||0|3.0|Dépendance|0.0|0.0|2022
1|18/01/2022|Vente|255000,00|36.0|RUE|0030|ARMAND DANEY|33470.0|GUJAN MESTRAS|33|199||BO|157||0|1.0|Maison|55.0|3.0|2022
1|18/01/2022|Vente|255000,00|36.0|RUE|0030|ARMAND DANEY|33470.0|GUJAN MESTRAS|33|199||BO|158||0|||||2022
1|18/01/2022|Vente|255000,00|||B019|LE BOURG DE GUJAN NORD|33470.0|GUJAN MESTRAS|33|199||BO|159||0|||||2022
1|07/01/2022|Vente|300000,00|14.0|ALL|0451|DU LAVOIR|33470.0|GUJAN MESTRAS|33|199||BZ|531||0|3.0|Dépendance|0.0|0.0|2022
1|07/01/2022|Vente|300000,00|14.0|ALL|0451|DU LAVOIR|33470.0|GUJAN MESTRAS|33|199||BZ|531||0|2.0|Appartement|79.0|3.0|2022
1|20/01/2022|Vente|337000,00|1.0|IMP|0052|DE LA BERLE|33470.0|GUJAN MESTRAS|33|199||DK|154||0|1.0|Maison|80.0|4.0|2022
1|20/01/2022|Vente|337000,00|1.0|IMP|0052|DE LA BERLE|33470.0|GUJAN MESTRAS|33|199||DK|155||0|||||2022
1|20/01/2022|Vente|337000,00|1.0|IMP|0052|DE LA BERLE|33470.0|GUJAN MESTRAS|33|199||DK|156||0|||||2022
1|31/01/2022|Vente|400000,00|14.0|IMP|0475|DU MAYNE|33470.0|GUJAN MESTRAS|33|199||BX|66||0|3.0|Dépendance|0.0|0.0|2022
